key,en,jp,ch,tc,ru,sp,latam,gr,pl,it,tr,fr,br,pr,kr,hu
rune_name_momentum,Momentum,勢い,动力转换,動力,Моментум,Momentum,Momentum,Momentum,Momentum,Inerzia,İvme,Élan,Impulso,Impulso,가속,Lendület
rune_description_momentum,"After picking up XP, gain Move Speed +7% per rank for 1 second.",経験値を拾った後、1秒間の移動速度アップ（ランクごとに+7%）を得る。,拾取经验后，获得1秒移速提升（+7%/阶）。,拾取經驗後，獲得1秒移速提升（+7%/級）。,После подбора опыта увеличивает скорость движения на 7% за уровень умения.,"Luego de recoger EXP, gana Vel. de Movimiento +7% cada rango por 1s.","Luego de recoger EXP, gana Vel. de Movimiento +7% cada rango por 1s.","Erhalte +7% Bewegungsgeschwindigkeit pro Level für 1 Sekunde, nachdem du Erfahrungspunkte aufgesammelt hast.","Po podniesieniu XP, zyskaj +7% Prędkości Poruszania na rangę na 1 sekundę.","Dopo aver raccolto XP, guadagna il 7% di Velocità di Movimento per livello per 1 secondo.",Yerden beceri puanı aldığında 1 saniyeliğine Rün Seviyesi başına %7 Hareket Hızı kazanırsın.,"Après avoir ramassé de l'XP, gagnez +7% de vitesse de déplacement par rang pendant 1 seconde.","Após coletar EXP, ganhe Velocidade de Movimento +7% por nível por 1 segundo.","Após coletar EXP, ganhe Velocidade de Movimento +7% por nível por 1 segundo.",XP를 획득할 때마다 1초간 이동 속도 증가 (랭크 당 +7%),"Miután felveszel egy Tapasztalat Pontot, szerzel +7% sebességet szintenként, egy másodpercig."
rune_name_seismic_ward,Seismic Ward,インパクトガード,冲击守卫,衝擊守衛,Землетрясение,Guardián Sismico,Guardián Sismico,Seismische Totems,Seismiczny Oddział,Lume Sismico,Sismik Koğuş,Garde Sismique,Proteção Sísmica,Proteção Sísmica,지진 와드,Szeizmikus Védelem
rune_description_seismic_ward,Summon 2 Seismic Wards that knocks back nearby enemy every 10 seconds. Seismic Wards' ability activates 1 second faster per rank.,10秒ごとに近くの敵をノックバックできるインパクトガードを2体召喚。（ランクごとに発動間隔-1秒）,召唤2个冲击守卫，每10秒会击退附近敌人，每阶减少1秒CD。,召喚2個衝擊守衛，每10秒會擊退附近敵人，每級減1秒CD。,"Призыв 2ух Сейсмических сторожей, которые отбрасывают ближайших врагов каждые 10 секунд. Способность длится 1 секунду за уровень умения.",Invoca 2 Guardianes Sismicos que empujen enemigos cercanos cada 10s. La habilidad se activa 1s más rápido por cada rango.,Invoca 2 Guardianes Sismicos que empujen enemigos cercanos cada 10s. La habilidad se activa 1s más rápido por cada rango.,"Beschwöre 2 Seismische Totems, die nahe Gegner alle 10 Sekunden zurückstoßen. Fähigkeiten der Seismischen Totems aktivieren sich eine Sekunde schneller pro Rang.","Przywołaj 2 Głazy, które odrzucają pobliskich przeciwników co 10 sekund. Umiejętność Sejsmicznego Oddziału aktywuje się 1 sekundę szybciej na rangę.",Evoca 2 Lumi Sismici che allontanano i nemici vicini ogni 10 secondi. L'abilità del Lume Sismico si attiva 1 secondo più velocemente per livello.,10 saniyeliğine düşmanları geri iten 2 adet Sismik Koğuş çağırır. Rün Seviyesi başına 1 saniye daha hızlı aktif olur.,Invoque 2 Gardes Sismiques qui repoussent les ennemis proches toutes les 10 secondes. La capacité des Gardes Sismiques s'active 1 seconde plus vite par rang.,Conjura 2 Proteções Sísmicas que empurram os inimigos a cada 10 segundos. A habilidade da Proteção Sísmica ativa 1 segundo mais rápido por nível.,Conjura 2 Proteções Sísmicas que empurram os inimigos a cada 10 segundos. A habilidade da Proteção Sísmica ativa 1 segundo mais rápido por nível.,10초마다 주변의 적을 밀쳐내는 2개의 지진 와드를 소환합니다.<br>지진 와드 소환 쿨타임 감소 (랭크 당 -1초),Megidézel 2 Szeizmikus Őrszemet amik hátralöknek ellenfeleket 10 másodpercenként. Szintenként 1 másodpercel hamarabb történik meg ez a hatás.
rune_name_blessing,Blessing,祝福,虔诚,虔誠,Благословение,Bendición,Bendición,Segen,Błogosławieństwo,Benedizione,Kutsama,Bénédiction,Bênção,Bênção,축복,Áldás
rune_description_blessing,Start the game with Holy Shield. Reduce Holy Shield's regeration time by 5 seconds per rank.,スタートから「聖なるバリア」を得る。バリアの再生時間がランクごとに‐5秒。,开局获得能力“信仰守护”，每阶将减少5秒“信仰守护”的再生时间.,開局獲得能力“信仰守護”，每級將減少5秒“信仰守護”的再生時間.,"Начинает игру со Святым щитом, время восстановления которого уменьшается на 5 секунд за уровень умения.",Empieza el juego con Escudo Santo. Reduciendo el tiempo de regeneración de Escudo Santo en 5s por rango.,Empieza el juego con Escudo Santo. Reduciendo el tiempo de regeneración de Escudo Santo en 5s por rango.,Starte das Spiel mit dem Heiligen Schild. Verringere die Regenerationszeit vom Heiligen Schild um 5 Sekunden pro Rang.,Rozpocznij grę z Boską Tarczą. Zredukuj czas regeneracji Boskiej Tarczy o 5 sekund na rangę.,"Inizia la partita equipaggiando Scudo Sacro, e riducine il tempo di rigenerazione di 5 secondi per livello.",Oyuna İlahi Kalkan ile başla. İlahi Kalkanın yenilenme süresini Rün Seviyesi başına 5 saniye azaltır.,Commencez la partie avec Bouclier Sacré. Réduit le temps de régénération du Bouclier Sacré de 5 secondes par rang.,Começa o jogo com o Escudo Sagrado. Reduz o tempo de regeneração do Escudo Sagrado em 5 segundos por nível.,Começa o jogo com o Escudo Sagrado. Reduz o tempo de regeneração do Escudo Sagrado em 5 segundos por nível.,신성한 보호막 능력을 가지고 게임을 시작합니다.<br>보호막 재생 쿨타임 감소 (랭크 당 -5초),Kezdd a játékot szent pajzzsal. Rövidítsd a pajzs regeneráció idejét 5 másodperccel szintenként.
rune_name_healing,Healing,ヒーリング,以战养战,嗜血,Лечение,Curación,Curación,Heilung,Leczenie,Guarigione,İyileşme,Soin,Redenção,Redenção,치유,Gyógyítás
rune_description_healing,Every 1500th enemy killed will drop an item that heals you for 1 HP. Reduce the threshold of enemies kills needed by 100 per rank.,敵を1500体倒すごとにハートを1個ドロップし、ランクごとに100体ずつ敷居が下がる。,每击杀1500个敌人，掉落1颗心，每升1阶减少100阈值。,每擊殺1500個敵人，掉落1顆心，每升1級減少100所需擊殺數量。,"С каждого 1500-го убитого врага выпадет предмет, восстанавливающий 1 ОЗ. Количество необходимых убийств снижается на 100 за уровень умения.",Cada 1500 enemigos muertos caerá un ítem que cura 1 PS. Reduce el límite de enemigos muertos necesarios por 100 cada rango.,Cada 1500 enemigos muertos caerá un ítem que cura 1 PS. Reduce el límite de enemigos muertos necesarios por 100 cada rango.,"Jeder 1500. getötete Gegner lässt einen Gegenstand fallen, der dich um einen Lebenspunkt heilt. Reduziere die Anzahl an getöteten Gegner, die gebraucht wird, um 100 pro Rang.","Co 1500 zabójstw, przeciwnik wyrzuci przedmiot, który leczy 1 HP. Zredukuj ilość wymaganych zabójstw o 100 na rangę.","Ogni 1500 nemici uccisi, raccogli dal terreno una guarigione di 1 HP. Riduci il numero di nemici necessari di 100 per livello.",Her 1500. düşman 1 can iyileştiren bir eşya bırakır. Rün Seviyesi başına öldürmen gereken düşman sayısı 100 düşer.,Chaque 1500ème ennemi tué laissera tomber un objet qui vous soigne de 1 PV. Réduit le seuil d'ennemis tués nécessaire de 100 par rang.,"A cada 1500 inimigos abatidos, surge um coração que restaura 1 PV. Reduz o limite de abates inimigos necessários em 100 a cada nível.","A cada 1500 inimigos abatidos, surge um coração que restaura 1 PV. Reduz o limite de abates inimigos necessários em 100 a cada nível.",1500마리의 적을 죽일 때마다 HP가 하나 드롭됩니다.<br>처치해야 할 적의 수 감소 (랭크 당 -100마리),Minden 1500. ellenfél amit megölsz dobni fog egy tárgyat ami visszatölt egy Életerőt. Csökkentsd a megölendő szörnyek számát százzal szintenként.
rune_name_last_stand,Last Stand,最後の砦,背水一战,背水一戰,Последний вздох,Última Resistencia,Última Resistencia,Letztes Gefecht,Ostatni Bastion,Ultima Sfida,Son Ayakta,Dernier Rempart,Último Recurso,Último Recurso,최후의 수단,Utolsó Harc
rune_description_last_stand,"When your HP drops to 1, gain Invincibility for 5 seconds per rank. Activates once per game.",HPが1になった時、ランクごとに+5秒の無敵状態を得る（1ゲームに1回のみ発動）,当你的生命值降至1时，获得短暂的无敌效果（+5秒/阶），每局只会生效一次。,當你的生命值降至1時，獲得短暫的無敵效果（+5秒/級），每局遊戲生效1次。,"Когда ОЗ падает до 1, активируется неуязвимость на 5 секунд за уровень умения. Срабатывает 1 раз за игру.","Cuando tus PS bajan a 1, ganas Invencibilidad por 5s cada rango. Se activa 1 vez por partida.","Cuando tus PS bajan a 1, ganas Invencibilidad por 5s cada rango. Se activa 1 vez por partida.","Wenn du nur noch einen Lebenspunkt übrig hast, erhalte Unbesiegbarkeit für 5 Sekunden pro Rang. Dies aktiviert sich nur einmal pro Spiel.","Kiedy twoje HP spada do 1, zyskaj Nietykalność na 5 sekund na rangę. Aktywuje się raz na grę.","Quando i tuoi HP scendono a 1, diventa Invincibile per 5 secondi per livello. Si attiva una volta per partita.",Can kaybettiğinde Rün Seviyesi başına 5 saniyeliğine ölümsüzlük kazan. Oyun başına 1 defa olur.,"Lorsque vos PV tombent à 1, devenez invincible pendant 5 secondes par rang. S'active une fois par partie.","Quando os seus PV caírem para 1, ganhe Invencibilidade por 5 segundos por nível. Ativa uma vez por partida.","Quando os seus PV caírem para 1, ganhe Invencibilidade por 5 segundos por nível. Ativa uma vez por partida.",HP가 1 남았을 때 무적 상태가 됩니다. 한 게임에 한 번만 발동됩니다.<br>무적 상태 지속 시간 증가 (랭크 당 +5초),"Amikor az Életerőd lecsökken egyre, halhatatlanságot szerzel 5 másodpercre szintenként. Egyszer működik egy menetben."
rune_name_growth,Growth,成長,成长,成長,Рост,Crecimiento,Crecimiento,Wachstum,Wzrost,Crescita,Büyüme,Croissance,Crescimento,Crescimento,성장,Növekedés
rune_description_growth,You heal 1 HP every 5th level. Gain 4% more XP per rank.,5レベルごとにHPを1回復。ランクごとに獲得経験値が4%追加。,对局中，每升5级，恢复1点生命值，经验获取提升（+4%/阶）。,遊戲中，每升5級，恢復1點生命值，經驗獲取提升（+4%/級）,Восстанавливает 1 ОЗ каждые 5 уровней. Увеличивает получаемый опыт на 4% за уровень умения.,Te curas 1 PS cada 5 niveles. Ganas 4% más de EXP por rango.,Te curas 1 PS cada 5 niveles. Ganas 4% más de EXP por rango.,Du heilst dich für einen Lebenspunkt all 5 Level. Erhalte 4% mehr Erfahrungspunkte pro Rang.,Leczysz 1 HP co 5 poziomów. Zyskaj 4% więcej XP co rangę.,Curi 1 HP ogni 5 livelli. Guadagni il 4% di HP in più per livello.,Her 5 seviyede 1 can iyileşirsin. Rün Seviyesi başına %4 İlave Beceri Puanı kazanırsın.,Vous guérissez d'1 PV tous les 5ème niveau. Gagnez 4% d'XP en plus par rang.,Você cura 1 PV a cada 5 níveis. Ganhe 4% a mais de EXP por nível.,Você cura 1 PV a cada 5 níveis. Ganhe 4% a mais de EXP por nível.,매 5레벨마다 HP를 1 회복합니다. XP 획득량 증가 (랭크 당 +4%),Kapsz egy Életerőt minden 5. szintnél. Szerezz 4% több Tapasztalat Pontot.
rune_name_guardian,Guardian,ガーディアン,守护者,守護者,Защитник,Guardián,Guardián,Wächter,Strażnik,Custode,Gardiyan,Gardien,Guardião,Guardião,수호자,Védőszent
rune_description_guardian,"Any time you would take lethal damage, instead destroy one of your summons to prevent death. Can activate once per rank per game.",致命傷を受けた時、召喚物を1体生贄にして死を回避できる。ランクごとに1回、ゲーム中に効果を発動できる。,当你受到致命伤害时，牺牲1个召唤来抵挡此次伤害。每局中，每升1阶增加1次可生效次数。,當你受到致命傷害時，犧牲1個召喚避免死亡，每升1級增加1次遊戲中可生效次數。,"Получив смертельный урон, один из призывов умирает вместо персонажа. Срабатывает 1 раз за уровень умения.","Cada vez que te hacen un daño mortál, una invocación es eliminada en su lugar para prevenir tu muerte. Se puede activar una vez por rango por partida.","Cada vez que te hacen un daño mortál, una invocación es eliminada en su lugar para prevenir tu muerte. Se puede activar una vez por rango por partida.","Jedes mal wenn du tötlichen Schaden bekommen würdest, zerstöre stattdessen eine deiner Beschwörungen, um deinen Tot zu verhindern. Pro Rang kann diese Fähigkeit im Spiel benutzt werden.","W jakiej kolwiek chwili kiedy twoja postać miała by otrzymać śmiertelne obrażenia, zamiast tego jedno z twoich przywołań zostanie zniszczone by uniknąć śmierci. Może aktywować się raz na rangę na grę.","Ogni volta che subisci un danno letale, sacrifica un'Evocazione per sopravvivere. Si attiva una volta per partita.",Öldürücü bir hasar aldığında ölmek yerine bir tane Çağırdığın Dostunu kaybedersin. Oyun başına 1 defa olur.,"Chaque fois que vous subissez des dégâts létaux, détruisez à la place une de vos invocations pour éviter la mort. Peut être activé une fois par rang et par partie.","Quando você receber dano fatal, destrua um de seus Seguidores para prevenir a morte. Ativa uma vez por partida, por nível.","Quando você receber dano fatal, destrua um de seus Seguidores para prevenir a morte. Ativa uma vez por partida, por nível.","치명적인 피해를 입었을 때, 소환수 중 하나를 제거하고 살아남습니다.<br>발동 횟수 증가 (랭크 당 +1회)","Ha egy halálos ütést kapnál, helyette elpusztul az egyik idézett lényed. Egyszer lehet aktiválni szintenként és menetenként."
rune_name_second_wind,Second Wind,復活,复苏之风,復蘇之風,Второе дыхание,Segundo Aire,Segundo Aire,Zweiter Wind,Drugi Wiatr,Secondo Fiato,İkinci Rüzgar,Second Souffle,Folêgo Renovado,Folêgo Renovado,원기 회복,Mély Lélegzet
rune_description_second_wind,"When your HP drops to 1, instantly heal 3 HP. Activates once per game.",HPが1になると、HPが3回復する。1ゲームに1回だけ有効。,当你的血量降至1时，立刻恢复3点血量，每局生效1次。,當你的血量降至1時，立刻恢復3點血量，每局遊戲生效1次。,"Когда ОЗ падает до 1, мгновенно восстанавливает 3 ОЗ. Срабатывает 1 раз за игру","Cuando tus PS bajan a 1, te curas 3 PS al instante. Se activa una vez por juego.","Cuando tus PS bajan a 1, te curas 3 PS al instante. Se activa una vez por juego.","Wenn du nur noch einen Lebenspunkt übrig hast, heile dich direkt um 2 Lebenspunkte. Dies aktiviert sich nur einmal pro Spiel.","Kiedy twoje HP spadnie do 1, natychmiast ulecz 3 HP. Aktywuje się raz na grę.","Quando i tuoi HP scendono a 1, cura istantaneamente 3 HP. Si attiva una volta per partita.",Canın 1e düştüğünde 3 can iyileşirsin. Oyun başına 1 kere olur.,"Quand vos PV tombent à 1, vous vous soignez instantanément de 3 PV. S'active une fois par partie.","Quando os seus PV caírem para 1, cura instantaneamente 3 de PV. Ativa uma vez por partida.","Quando os seus PV caírem para 1, cura instantaneamente 3 de PV. Ativa uma vez por partida.",HP가 1만 남았을 때 즉시 3 HP를 회복합니다. 한 게임에 한 번만 발동됩니다.,"Amikor az Életerőd 1-re csökken, azzonal 3 Életerőt kapsz. Egyszer aktiválódik menetenként."
abby_perk_bullet_storm_name,Abby: Bullet Storm,アビー：弾丸の嵐,艾比：子弹风暴,艾比：子彈風暴,Эбби: Град снарядов,Abby: Tormenta de Balas,Abby: Tormenta de Balas,Abby: Kugelhagel,Abby: Burza Pocisków,Abby: Tempesta di Piombo,Abby: Mermi Fırtınası,Abby : Tempête de balles,Abby: Tempestade de Balas,Abby: Tempestade de Balas,애비: 탄환 폭풍,Abby: Golyózápor
abby_perk_make_it_rain_name,Abby: Make It Rain,アビー：雨乞い,艾比：倾泻,艾比：傾瀉,Эбби: Ураганная атака,Abby: Haz que Llueva,Abby: Haz que Llueva,Abby: Lass es regnen,Abby: Spraw by Padało,Abby: Pioggia di Fuoco,Abby: Yağmur Vakti,Abby : Pluie de balles,Abby: Faça chover,Abby: Faça chover,애비: 호우주의,Abby: Küldjük Nekik
abby_perk_make_it_rain_description,Double how fast <color=#f5d6c1>Abby</color> fires during her special skill.,<color=#f5d6c1>アビー</color>の特殊スキル使用時に発射速度が倍増。,<color=#f5d6c1>艾比</color>的特殊技能发射速度翻倍。,艾比的特殊技能發射速度翻倍。,Удваивает скорострельность <color=#f5d6c1>Эбби</color> во время действия ее способности.,<color=#f5d6c1>Abby</color> dobla su velocidad de disparo mientras usa su habildiad especial.,<color=#f5d6c1>Abby</color> dobla su velocidad de disparo mientras usa su habildiad especial.,"Verdopple <color=#f5d6c1>Abby's</color> Feuergeschwindigkeit, während sie ihre Fähigkeit aktiviert.",Podwaja prędkość z jaką <color=#f5d6c1>Abby</color> strzela podczas jej specjalnej zdolności.,Raddoppia la velocità di fuoco di <color=#f5d6c1>Abby</color> durante la sua abilità speciale.,<color=#f5d6c1>Abby</color>nin Özel Yeteneğinde olan Atış Hızını iki katına çıkarır.,Double la vitesse à laquelle <color=#f5d6c1>Abby</color> tire pendant sa compétence spéciale.,Dobre a rapidez com que <color=#f5d6c1>Abby</color> atira durante sua habilidade especial.,Dobre a rapidez com que <color=#f5d6c1>Abby</color> atira durante sua habilidade especial.,<color=#f5d6c1>애비</color>가 특수 능력을 사용하는 동안 연사 속도가 2배가 됩니다.,"Duplázd meg, hogy milyen gyorsan lő <color=#f5d6c1>Abby</color> a speciális képessége alatt."
abby_perk_whirlwind_name,Abby: Whirlwind,アビー：旋風,风之力,艾比：風之力,Эбби: Вихрь,Abby: Torbellino,Abby: Torbellino,Abby: Wirbelwind,Abby: Trąba Powietrzna,Abby: Tornado,Abby: Kasırga,Abby : Tourbillon,Abby: Redemoinho,Abby: Redemoinho,애비: 회오리바람,Abby: Forgószél
abby_perk_whirlwind_description,Increase Move Speed and Reload Rate by <color=#f5d6c1>35%</color> for <color=#f5d6c1>2</color> seconds after reloading.,リロード後<color=#f5d6c1>2</color>秒の間、移動速度とリロード速度が<color=#f5d6c1>35%</color>上昇。,换弹后，增加<color=#f5d6c1>35%</color> 移动速度和换弹速度，持续<color=#f5d6c1>2</color> 秒。,換彈後，增加35%移動速度和換彈速度，持續2秒。,"После перезарядки, увеличивает скорость бега и перезарядки на <color=#f5d6c1>35%</color> на <color=#f5d6c1>2</color> секунды.",Incrementa la Vel. de Movimiento y el Tiempo de Recarga <color=#f5d6c1>35%</color> por <color=#f5d6c1>2s</color> luego de recargar.,Incrementa la Vel. de Movimiento y el Tiempo de Recarga <color=#f5d6c1>35%</color> por <color=#f5d6c1>2s</color> luego de recargar.,Erhöhe die Bewegungsgeschwindigkeit und Nachladegeschwindigkeit um <color=#f5d6c1>35%</color> für <color=#f5d6c1>2</color> Sekunden nach dem Nachladen.,Zwiększ Prędkość Poruszania się i Prędkość Przeładowania o <color=#f5d6c1>35%</color> na <color=#f5d6c1>2</color> sekundy po przeładowaniu.,Aumenta Velocità di Movimento e di Ricarica del <color=#f5d6c1>35%</color> per <color=#f5d6c1>2</color> secondi dopo la ricarica.,Şarjörünü doldurduktan sonra <color=#f5d6c1>2</color> saniye boyunca <color=#f5d6c1>35%</color> Hareket Hızı ve Yeniden Doldurma Hızı kazanırsın.,Augmente la Vitesse de Déplacement et la Vitesse de Rechargement de <color=#f5d6c1>35%</color> pendant <color=#f5d6c1>2</color> secondes après le rechargement.,Aumente a velocidade de movimento e a taxa de recarga em <color=#f5d6c1>35%</color> por <color=#f5d6c1>2</color> segundos após recarregar.,Aumente a velocidade de movimento e a taxa de recarga em <color=#f5d6c1>35%</color> por <color=#f5d6c1>2</color> segundos após recarregar.,재장전 후 <color=#f5d6c1>2</color>초간 이동 속도와 재장전 속도가 <color=#f5d6c1>35%</color> 증가합니다.,A Mozgási Sebesség és Újratöltés <color=#f5d6c1>35%</color>-al nő <color=#f5d6c1>2</color> másodpercig miután újratöltessz.
diamond_perk_berserk_name,Diamond: Berserk,ダイヤモンド：狂戦士,黛蒙德：狂怒,黛蒙德：狂怒,Даймонд: Берсерк,Diamond: Berserk,Diamond: Berserk,Diamond: Berserker,Diament: Berserker,Diamond: Berserk,Diamond: Çılgın,Diamond : Berserk,Diamond: Fúria,Diamond: Fúria,다이아몬드: 광전사,Diamond: Őrület
diamond_perk_berserk_description,Increase Fire Rate and Reload Rate by <color=#f5d6c1>+10%</color> permenantly every time you get hit.,ダメージを受けるたびに発射速度とリロード速度が<color=#f5d6c1>+10%</color>ずつ増加。,受伤后，永久增加<color=#f5d6c1>10%</color> 射速和换弹速度。,受傷後，永久增加10%射速和換彈速度。,"Получая урон, перманентно увеличивает скорость стрельбы и перезарядки на <color=#f5d6c1>+10%</color>.",Incrementa la Cadencia de Disparo y el Tiempo de Recarga <color=#f5d6c1>+10%</color> permanentemente cada vez que te hieren.,Incrementa la Cadencia de Disparo y el Tiempo de Recarga <color=#f5d6c1>+10%</color> permanentemente cada vez que te hieren.,"Erhöhe Feuerrate und Nachladegeschwindigkeit permanent um <color=#f5d6c1>+10%</color> jedes Mal, wenn du getroffen wirst.",Zwiększ Szybkostrzelność i Szybkość Przeładowania o  <color=#f5d6c1>+10%</color> permanentnie za każdym razem kiedy twoja postać zostaje trafiona.,Aumenta il Rateo di Fuoco e la Velocità di Ricarica del <color=#f5d6c1>10%</color> ogni volta che vieni colpito.,Hasar yediğinde kalıcı olarak <color=#f5d6c1>10%</color> Atış Hızı ve Yeniden Doldurma Hızı kazanırsın.,Augmente de façon permanente la Vitesse de Tir et la Vitesse de Rechargement de <color=#f5d6c1>+10%</color> à chaque fois que vous êtes touché.,Aumente a Taxa de Disparo e a Taxa de Recarga em <color=#f5d6c1>+10%</color> permanentemente toda vez que você for atingido.,Aumente a Taxa de Disparo e a Taxa de Recarga em <color=#f5d6c1>+10%</color> permanentemente toda vez que você for atingido.,적에게 피해를 입을 떄마다 연사 속도와 재장전 속도를 영구적으로 <color=#f5d6c1>10%</color>씩 증가시킵니다.,A Lövési Sebesség és Újratöltés <color=#f5d6c1>10%</color>-al nő a játék végéig miután eltalálnak.
diamond_perk_bulk_up_name,Diamond: Bulk Up,ダイヤモンド：増強,黛蒙德：倍化,黛蒙德：倍化,Даймонд: Подкачаться,Diamond: Ganando Músculo,Diamond: Ganando Músculo,Diamond: Ansammeln,Diament: Nabierz Masy,Diamond: Peso Massimo,Diamond: Kaslan,Diamond : Renforcement,Diamond: Corpulência,Diamond: Corpulência,다이아몬드: 벌크업,Diamond: Erősítés
diamond_perk_bulk_up_description,Increase Bullet Damage and Bullet Size by <color=#f5d6c1>+15%</color> permenantly every time you heal.,回復するたびに弾のダメージと弾のサイズが<color=#f5d6c1>+15%</color>ずつ増加。,受到治疗后，永久增加<color=#f5d6c1>15%</color> 子弹伤害和子弹大小。,受到治療後，永久增加15%子彈傷害和子彈大小。,"При каждом исцелении, перманентно увеличивает урон и размер снарядов на 15%.",Incrementa el Daño de Bala <color=#f5d6c1>+15%</color> cada vez que te curas de forma permanente.,Incrementa el Daño de Bala <color=#f5d6c1>+15%</color> cada vez que te curas de forma permanente.,Erhöhe Waffenschaden und Projektilgröße permanent um <color=#f5d6c1>+15%</color> jedes Mal wenn du dich heilst.,Zwiększ Obrażenia Pocisku i Rozmiar Pocisku o <color=#f5d6c1>+15%</color> permanentnie za każdym razem kiedy się leczysz.,Aumenta il Danno e la Dimensione dei Proiettili del <color=#f5d6c1>15%</color> ogni volta che ti curi.,Her iyileştiğinde Mermi Hasarını ve Mermi Boyutunu kalıcı olarak <color=#f5d6c1>15%</color> arttırır.,Augmente les dégâts des balles et la taille des balles de <color=#f5d6c1>+15%</color> de façon permanente à chaque fois que vous vous soignez.,Aumente o Dano do Disparo e o Tamanho do Projétil em <color=#f5d6c1>+15%</color> permanentemente toda vez que você se curar.,Aumente o Dano do Disparo e o Tamanho do Projétil em <color=#f5d6c1>+15%</color> permanentemente toda vez que você se curar.,HP를 회복할 때마다 탄환의 피해량과 크기를 영구적으로 <color=#f5d6c1>15%</color>씩 증가시킵니다.,Növeli a Golyó Sebzést és a Golyó Méretet <color=#f5d6c1>+15%</color>-al amikor gyógyulsz.
diamond_perk_strong_will_name,Diamond: Strong Will,ダイヤモンド:不屈の意志,黛蒙德：不屈意志,黛蒙德：不屈意志,Даймонд: Сила воли,Diamond: Fuerza Salvaje,Diamond: Fuerza Salvaje,Diamond: Starker Wille,Diament: Silna Wola,Diamond: Volontà Ferrea,Diamond: Güçlü İrade,Diamond : Forte Volonté,Diamond: Força de Vontade,Diamond: Força de Vontade,다이아몬드: 결의,Diamond: Erős Akarat
diamond_perk_strong_will_description,"When <color=#f5d6c1>Diamond's</color> HP is at or below half of Max HP, increase Piercing <color=#f5d6c1>+2</color> and Knockback <color=#f5d6c1>+25%</color>",<color=#f5d6c1>ダイヤモンド</color>のHPが最大HPの半分以下の時、貫通<color=#f5d6c1>+2</color>とノックバック<color=#f5d6c1>+25%<color>を追加。,当黛蒙德的血量低于等于半血时，子弹穿透<color=#f5d6c1>+2</color> ，击退<color=#f5d6c1>+25%</color> 。,當黛蒙德的血量低於等於半血時，子彈穿透+2，擊退+25%。,"Когда здоровье <color=#f5d6c1>Даймонд</color> снижается до половины или ниже, увеличивается отброс на <color=#f5d6c1>+25%</color> и пронзание на <color=#f5d6c1>2</color> врагов.","Cuando los PS de <color=#f5d6c1>Diamond</color> están debajo de los PS max., incrementa la Penetración en <color=#f5d6c1>+2</color> y el Empuje <color=#f5d6c1>+25%</color>.","Cuando los PS de <color=#f5d6c1>Diamond</color> están debajo de los PS max., incrementa la Penetración en <color=#f5d6c1>+2</color> y el Empuje <color=#f5d6c1>+25%</color>.","Wenn <color=#f5d6c1>Diamond's</color> Lebenpunkte bei der Hälfte oder weniger angekommen sind, erhöhe Durchdringen um <color=#f5d6c1>+2</color> und Rückstoß um <color=#f5d6c1>+25%</color>","Kiedy HP <color=#f5d6c1>Diamentu</color> jest równe lub niższe jej maksymalnemu HP, penetracja zostaje zwiększona o <color=#f5d6c1>+2</color> i Odrzut zostaje zwiększony o <color=#f5d6c1>+25%</color>.","Quando gli HP di <color=#f5d6c1>Diamond</color> scendono sotto la metà degli HP Massimi, aumenta Penetrazione di <color=#f5d6c1>2</color> e Contraccolpo del <color=#f5d6c1>25%</color>","<color=#f5d6c1>Diamondun</color> canı 50% nin altında olduğunda, Delmeyi <color=#f5d6c1>2</color> arttırır ve Geri İtmeyi <color=#f5d6c1>25%</color> arttırır.","Lorsque les PV de <color=#f5d6c1>Diamond</color> sont égaux ou inférieurs à la moitié des PV maximaux, augmente la Perforation <color=#f5d6c1>+2</color> et le recul de<color=#f5d6c1>+25%</color>.","Quando o PV de <color=#f5d6c1>Diamond</color> for igual ou inferior a metade do PV Máximo, aumente a Perfuração em <color=#f5d6c1>+2</color> e Empurrão em <color=#f5d6c1>+25%</color>","Quando o PV de <color=#f5d6c1>Diamond</color> for igual ou inferior a metade do PV Máximo, aumente a Perfuração em <color=#f5d6c1>+2</color> e Empurrão em <color=#f5d6c1>+25%</color>",HP가 절반 이하일 때 탄환 관통이 <color=#f5d6c1>2</color> 증가하고 넉백이 <color=#f5d6c1>25%</color> 증가합니다.,"Amikor <color=#f5d6c1>Diamond</color> élete a max élete felén vagy annál alacsonyabban van, akkor Átütés növekedik <color=#f5d6c1>+2</color>-vel és Hátralökés <color=#f5d6c1>+25%</color>-al."
hina_perk_enhanced_shadow_name,Hina: Enhanced Shadow,ヒナ：影訓練,阳菜：影子强化,陽菜：影子訓練,Хина: Улучшенная тень,Hina: Sombra Mejorada,Hina: Sombra Mejorada,Hina: Erweiterter Schatten,Hina: Wzmocniony Cień,Hina: Ombra Crescente,Hina: Gelişmiş Gölge,Hina : Ombre améliorée,Hina: Sombra Aprimorada,Hina: Sombra Aprimorada,히나: 강화된 그림자,Hina: Fejlesztett Árnyék
